,singkatan,baku
645,takaranya,takarannya
646,selaen,selain
647,ortu,orang tua
648,ngurus,mengurus
649,manajamennya,manajemen
650,usernya,pengguna
651,publicity stunt,aksi publisitas
652,nurunin,menurunkan
653,kebukti,terbukti
654,itâ€™s a,itu
655,customernya,pelanggan
656,staff,staf
657,fb,makanan dan minuman
658,auto,otomatis
659,bad movement,langkah yang buruk
660,movement,langkah
661,customermu,pelanggan kamu
662,no,tidak
663,marcom nya,marcom
664,kurengg,kurang
665,awareness,kesadaran
666,riview,ulasan
667,malez,malas
668,sugih,kaya
669,terlaluu,terlalu
670,yaelah,ya elah
671,ngata,menghina
672,fair,adil
673,lain-lain nya,lain-lain
674,cakep,bagus
675,next,selanjutnya
676,favku,favorit
677,tea nya,tea
678,outlet,toko
679,mulu,terus
680,mara,marah
681,salahinlah,salahkan
682,indonesia nya,indonesia
683,bkan,bukan
684,yh,ya
685,trtipu,tertipu
686,kotelasi,korelasi
687,pd,pada
688,udahlah,sudah
689,masalin,somasi
690,akuin,mengaku
691,suer,sumpah
692,poll,banget
693,yakali,ya masa
694,dilayanin,dilayani
695,kritkan,kritikan
696,uu,undang-undang
697,yaa,ya
698,batesin,dibatasi
699,people,orang
700,dear,sayang
701,indormasi,informasi
702,over sweet,terlalu manis
703,bayangin,membayangkan
704,simply,mudah
705,some,beberapa
706,bgini,begini
707,permasalahin,permasalahkan
708,bget,banget
709,open,buka
710,feedback,masukan
711,qc,kualitas kontrol
712,store,toko
713,diperhatiin,memperhatikan
714,ttg,tentang
715,pertahanin,pertahankan
716,konsultasiin,konsultasikan
717,image,citra
718,jdnya,jadinya
719,works,bekerja
720,harder,lebih keras
721,loopholenya,jalan keluar
722,legal standingnya,kedudukan hukum
723,nget,banget
724,ikom,ilmu komunikasi
725,nitip,titip
726,half,setengah
727,manizss,manis
728,corn nya,corn
729,usav,usah
730,maniz,manis
731,friendly,bersahabat
732,anjer,anjir
733,legal nya,legal
734,caper,cari perhatian
735,cancelled,batal
736,tatut,takut ketinggalan zaman
737,komersil,komersial
738,manies,manis
739,low,rendah
740,jan,jangan
741,good move,langkah bagus
742,tida,tidak
743,siee,sih
744,ente,kamu
745,gamikir,tidak berpikir
746,kli,kali
747,disampaikn,disampaikan
748,boomerang,bumerang
749,akirnya,akhirnya
750,sskali,sesekali
751,overreacted,bereaksi berlebihan
752,now on,sekarang
753,ngomongin,berbicara
754,pt,perseroan terbatas
755,harus nya,harusnya
756,produk nya,produknya
757,seh,sih
758,cma,Cuma
759,cba,coba
760,against,lawan
761,republic of,republik
762,hashtag,tagar
763,disaster,bencana
764,nyontoh,contoh
765,jiah,ya
766,issuenya,masalah
767,health nya,kesehatan
768,health,sehat
769,nyicipin,mencicip
770,ngambek,merajuk
771,dahal,padahal
772,enakk,enak
773,mesennya,pesannya
774,beres,selesai
775,bi,beli
776,keknya,seperti
777,gilaa,gila
778,dibilang,bilang
779,ngritik,mengkritik
780,cut,potong
781,incident,kejadian
782,well,nah
783,should be,harus
784,educate,mengedukasi
785,their customer,pelanggan mereka
786,their,mereka
787,if,jika
788,there are,ada
789,something,sesuatu
790,like this,seperti ini
791,not,tidak
792,with,dengan
793,those somasi,somasi itu
794,this,ini
795,those,itu
796,no more,tidak lagi
797,nomor more,tidak lagi
798,more,lagi
799,me,saya
800,modar,mati
801,sia,kamu
802,goblog,goblok
803,balance,seimbang
804,njr,anjir
805,ngetweet,membuat tweet
806,gmnaa,gimana
807,gitumah,begitu
808,jeleq,jelek
809,ite,informasi dan transaksi elektronik
810,masyaraka,masyarakat
811,less rasa,kurang rasa
812,yak,ya
813,bangsaat,bangsat
814,antikritik,anti kritik
815,jadiin,menjadikan
816,redvlvt,red velvet
817,management nya,manajemen
818,ohh,oh
819,weekend,hari libur
820,ajj,saja
821,mnuman,minuman
822,aware,sadar
823,plis,tolong
824,dripada,daripada
825,good luck,semoga beruntung
826,canceled,batal
827,dodol,bodoh
828,rispek,menghormati
829,komenin,komentar
830,rekom,merekomendasikan
831,ningkatin,meningkatkan
832,bun,bunda
833,walach,walah
834,beropini,berpendapat
835,gaya nya,gayanya
836,kepo,ingin tahu
837,sekebon,satu kebun
838,top,atas
839,ing,bahan-bahan
840,members,anggota
841,ngerangkul,merangkul
842,ngusir,mengusir
843,existing,yang ada
844,potential,potensial
845,the definition of,definisi
846,killing,membunuh
847,birds,burung
848,stone,batu
849,one,satu
850,sedemen,sesuka
851,demennya,sukanya
852,mamng,paman
853,tee,teh
854,into,ke
855,base,dasar
856,bb,b
857,tydaqkah,tidak kah
858,bhuanyak,banyak
859,copycat,peniru
860,loyalty,loyalitas
861,tak,tidak
862,kulik,kupas
863,mager,malas
864,teanya,tea
865,brandingan,branding
866,direcoki,merecoki
867,ngancem,mengancam
868,sesimple,semudah
869,ngopi,mengopi
870,enakny,enaknya
871,th,tahu
872,trll,terlalu
873,dbwa,dibawa
874,nylekit,menyakitkan hati
875,jadi nya,jadinya
876,gasopan,tidak sopan
877,qrtnya,kutipan tweet
878,gasehat,tidak sehat
879,imo,menurut pendapatku
880,gelud,bertengkar
881,via,lewat
882,dm,pesan langsung
883,hmm,hm
884,plise,tolong
885,atuh,dong
886,itungannya,hitungannya
887,coffee shop,kedai kopi
888,coffee,kopi
889,shop,toko
890,dipasarin,dipasarkan
891,ngancam,mengancam
892,facts,fakta
893,ingredient nya,bahan-bahan
894,ingredient,bahan-bahan
895,fyp,muncul di beranda tiktok
896,rekomen,rekomendasi
897,yaqueen,yakin
898,fuck,persetan
899,mainstream,umum
900,ditawarin,ditawarkan
901,amsyong,sial
902,lawyer nya,pengacara
903,cherrs,bersulang
904,extra,ekstra
905,less,kurang
906,ge,sayang
907,demen,sukanya
908,cokolatehnya,cokolateh
909,movenya,langkah
910,byebye,selamat tinggal
911,jujurly,jujur
912,outlet nya,toko
913,sop,prosedur operasi standar
914,caur,hancur
915,ngereply,membalas
916,apakek,apa
917,perez,kepalsuan
918,thankyou,terima kasih
919,mandengnya,memandangnya
920,waah,wah
921,brandny,merek
922,will,akan
923,anything,apapun
924,qc nya,kualitas kontrol
925,didm,pesan
926,fb,facebook
927,managernya,manajer
928,rating,peringkat
929,okay,oke
930,rekomendasiin,merekomendasikan
931,unpopular opinion,pendapat tidak populer
932,unpopular,tidak populer
933,opinion,pendapat
934,seancur,sehancur
935,ancurnya,hancurnya
936,ngereview,memberikan ulasan
937,ti,tahi
938,kosan,indekos
939,kos,indekos
940,up,naikkan
941,personalitynya,kepribadian
942,ngomong ngomong,berbicara
943,dikatai katai,mengatai
944,sononya,sana
945,seriusin,serius
946,im,saya
947,gonna,akan
948,anymore,lagi
949,diliatnya,dilihat
950,instead of,alih-alih
951,ngejelasin,menjelaskan
952,bhwa,bahwa
953,it means,itu berarti
954,means,berarti
955,jaman,zaman
956,beling,kaca
957,lagii,lagi
958,casenya,kasus
959,too,terlalu
960,much,banyak
961,setdah,buset
962,option,pilihan
963,nunggu,menunggu
964,batu nya,batu
965,rebu,ribu
966,bacain,membaca
967,reply,balasan
968,cantumin,cantumkan
969,akg,angka kecukupan gizi
970,sa,saja
971,apasi,apa sih
972,diributin,diributkan
973,exposure,paparan
974,bgni,begini
975,thats,itu
976,how,bagaimana
977,treat a,memperlakukan
978,nyeduh,seduh
979,nyoos,mantap
980,dulu,dahulu
981,sosmednya,media sosial
982,cringe,jijik
983,rada,agak
984,bar,barbar
985,settingan,pengaturan
986,kang,tukang
987,setelag,setelah
988,sik,sih
989,kcuali,kecuali
990,pms,sindrom pramenstruasi
991,hyperbole,hiperbolis
992,sprtnya,sepertinya
993,basically,dasarnya
994,nanggepin,menanggapi
995,trhadap,terhadap
996,beliin,beli
997,milonya,milo
998,say,sayang
999,balesannya,balasannya
1000,taunya,tahu
1001,gaterima,tidak terima
1002,paitnya,pahit
1003,getting,mendapatkan
1004,this is,ini
1005,bullshit,omong kosong
1006,ice,es
1007,nyinggung,menyinggung
1008,sekedar,sekadar
1009,seeing,melihat
1010,be fair,adil
1011,doakan,saja
1012,ngebuat,membuat
1013,bedain,bedakan
1014,ill,saya akan
1015,say,mengatakan
1016,cheesenya,keju
1017,ajadah,saja
1018,wishing,berharap
1019,a very,sangat
1020,best of luck,semoga berhasil
1021,nyruput,seruput
1022,luck,keberuntungan
1023,denger,dengar
1024,good job,kerja bagus
1025,job,kerja
1026,good,bagus
1027,gpp,tidak apa-apa
1028,tidak-apa-apa,tidak apa-apa
1029,teajus,tea jus
1030,or,atau
1031,planned,berencana
1032,freak,aneh
1033,beginian,begini
1034,abuse of power,penyalahgunaan kekuasaan
1035,abuse of,penyalahgunaan
1036,hellish,jahat
1037,bankruptcy,bangkrut
1038,nyungsep,jatuh
1039,publicity,publisitas
1040,yawda,ya sudah
1041,already,sudah
1042,lost,kehilangan
1043,one of,satu
1044,their loyal,setia mereka
1045,loyal,setia
1046,customers,pelanggan
1047,ketimbang,daripada
1048,dikirimin,kirim
1049,nge somasi,somasi
1050,real life,kehidupan nyata
1051,real,nyata
1052,life,kehidupan
1053,ngamuk,mengamuk
1054,ok,oke
1055,membelj,membeli
1056,klean,kalian
1057,shitpost,pos buruk
1058,menyarakan,menyuarakan
1059,diibaratin,diibaratkan
1060,kesinggung,tersinggung
1061,padahalmah,padahal
1062,ditemani,teman
1063,ownernya,pemilik
1064,your winning,kemenanganmu
1065,your,kamu
1066,winning,kemenangan
1067,sie,sih
1068,petnah,pernah
1069,bini,istri
1070,nyokapnya,ibu
1071,mencret,menceret
1072,etminnya,admin
1073,mass,mas
1074,bakul,penjual
1075,neng,di
1076,kae,itu
1077,didandani,diperbaiki
1078,rasah,tidak perlu
1079,masalah e,masalahnya
1080,dowo,panjang
1081,dadi,jadi
1082,i,itu
1083,unek,hina
1084,unekke,hina
1085,wadul,mengadu
1086,bakalan,akan
1087,adl,adalah
1088,antri,anti
1089,fua,dua
1090,hem,hm
1091,such a,begitu
1092,on,di
1093,your part,pihakmu
1094,part,pihak
1095,such,begitu
1096,euy,ya
1097,seicip,cicip
1098,denial,menyangkal
1099,cizuan,chizu
1100,pol,banget
1101,bran,merek
1102,jualin,menjual
1103,kirain,mengira
1104,tea an,tea
1105,cokelat an,cokelat
1106,sebagain,sebagai
1107,faham,paham
1108,improvement,peningkatan
1109,improve,memperbaiki
1110,napsu,nafsu
1111,akui,mengaku
1112,inii,ini
1113,tambahin,tambahkan
1114,twitnya,tweet
1115,mua,semua
1116,a bad pr,hubungan masyarakat yang buruk
1117,ancem,ancam
1118,beresiko,berisiko
1119,jadiin,menjadikan
1120,ditinggalin,ditinggalkan
1121,kandungan nya,kandungan
1122,biggest fans,penggemar terbesar
1123,biggest,terbesar
1124,chizunya,chizu
1125,berpemanis,manis
1126,men somasi,somasi
1127,manis nis,manis banget
1128,nis,manis
1129,baperan,terbawa perasaan
1130,baidewei,berbicara
1131,wording,kata
1132,ref,referensi
1133,tanyain,tanyakan
1134,ngajakin,mengajak
1135,twittnya,tweet
1136,dikomplen,keluhan
1137,ybs,yang bersangkutan
1138,what the f,persetan
1139,apa the f,persetan
1140,show,menunjukkan
1141,gengs,teman-teman
1142,maennya,main
1143,ass,assalamualaikum
1144,wr,warahmatullahi
1145,wb,wabarakatuh
1146,hoalahh,oalah
1147,luwih,lebih
1148,kretek,jalan
1149,kidul,selatan
1150,kono,sana
1151,somasian,somasi
1152,st,stasiun
1153,gulo,gula
1154,syulit,sulit
1155,tok,saja
1156,udaha,usaha
1157,yh,yah
1158,ptg,penting
1159,jiah,yah
1160,top tier,tingkat atas
1161,tier,tingkat
1162,teh an,teh
1163,rak,tidak
1164,modyar,mati
1165,mu,kamu
1166,dasa,rasa
1167,mengenakan,mengenakkan
1168,outletnya,toko
1169,diksh,beri
1170,nyolot,menantang
1171,tanggal nya,tanggal
1172,lam,lama
1173,sweet tooth,gigi manis
1174,sweet,manis
1175,tooth,gigi
1176,anyi,anti
1177,pos,pos
1178,harmless tweet,tweet berbahaya
1179,harmless,berbahaya
1180,replies,balasan
1181,notes,pesan
1182,wlpn,walaupun
1183,delivery,pengiriman
1184,okelah,oke
1185,ditackle,gasak
1186,ngebelanya,membelanya
1187,segimana,seberapa
1188,redvel,red velvet
1189,ajalah,saja
1190,dessert ,hidangan penutup
1191,ngl,tidak akan berbohong
1192,kau,lalu
1193,ngebelain,membela
1194,kutambahin,tambah
1195,gara-gara,gara-gara
1196,zonk,tidak sesuai harapan
1197,sick,sakit
1198,timeline,lini masa
1199,kilo,kilogram
1200,companynya,perusahaan
1201,campaignnya,kampanye
1202,ngasusin,kasus
1203,pelanggan nya,pelanggan
1204,nakuti,takut
1205,jatuh nya,jatuh
1206,hayolo,hayo
1207,salt nya,salt
1208,sorry to say,maaf untuk mengatakan
1209,sorry untuk say,maaf untuk mengatakan
1210,most,terlalu
1211,overhyped,berlebihan
1212,like a shit,seperti kotoran
1213,like,suka
1214,verasa,terasa
1215,tehan,teh
1216,cosplay,pemermainan kostum
1217,all,semua
1218,lemonandeberry,lemonande berry
1219,roseminggu,membeli lagi seminggu
1220,kopken,kopi kenangan
1221,rame,ramai
1222,ta,tetapi
1223,diposisiin,diposisikan
1224,omongin,berbicara
1225,nyakitin,menyakitkan
1226,yeet,ya
1227,ngelapor,melaporkan
1228,mention,menyebutkan
1229,ceo nya,direktur utama
1230,indomrt,indomart
1231,segambreng,banyak
1232,craving,keinginan
1233,kopsus,kopi susu
1234,insyaf,insaf
1235,nuntut,menuntut
1236,skb,surat keterangan bebas pajak
1237,menkopulhukam,menteri koordinator bidang politik hukum dan keamanan indonesia
1238,demeg,efek
1239,sender,pengirim
1240,edmin,admin
1241,skrinsutan,tangkapan layar
1242,tdnya,tadinya
1243,threadnya,thread
1244,balesan,balasan
1245,dilaporin,dilaporkan
1246,ngapa,kenapa
